Gemeinde|Art|Landkreis|Bezirk|AGS
Lichtenberg|Stadt|Hof|Oberfranken|09-475-146
Lichtenfels|Stadt|Lichtenfels|Oberfranken|09-478-139
Lindau (Bodensee)|Große Kreisstadt|Lindau (Bodensee)|Schwaben|09-776-116
Lindberg|Gemeinde|Regen|Niederbayern|09-276-130
Lindenberg im Allgäu|Stadt|Lindau (Bodensee)|Schwaben|09-776-117
Lisberg|Gemeinde|Bamberg|Oberfranken|09-471-154
Litzendorf|Gemeinde|Bamberg|Oberfranken|09-471-155
Lohberg|Gemeinde|Cham|Oberpfalz|09-372-178
Lohkirchen|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-125
Lohr am Main|Stadt|Main-Spessart|Unterfranken|09-677-155
Loiching|Gemeinde|Dingolfing-Landau|Niederbayern|09-279-124
Loitzendorf|Gemeinde|Straubing-Bogen|Niederbayern|09-278-147
Lonnerstadt|Markt|Erlangen-Höchstadt|Mittelfranken|09-572-139
Ludwigschorgast|Markt|Kulmbach|Oberfranken|09-477-135
Ludwigsstadt|Stadt|Kronach|Oberfranken|09-476-152
Luhe-Wildenau|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-133
Lülsfeld|Gemeinde|Schweinfurt|Unterfranken|09-678-153
Lupburg|Markt|Neumarkt in der Oberpfalz|Oberpfalz|09-373-143
Lutzingen|Gemeinde|Dillingen an der Donau|Schwaben|09-773-146
Mähring|Markt|Tirschenreuth|Oberpfalz|09-377-139
Maierhöfen|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-118
Maihingen|Gemeinde|Donau-Ries|Schwaben|09-779-176
Mainaschaff|Gemeinde|Aschaffenburg|Unterfranken|09-671-140
Mainbernheim|Stadt|Kitzingen|Unterfranken|09-675-144
Mainburg|Stadt|Kelheim|Niederbayern|09-273-147
Mainleus|Markt|Kulmbach|Oberfranken|09-477-136
Mainstockheim|Gemeinde|Kitzingen|Unterfranken|09-675-146
Maisach|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-134
Maitenbeth|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-126
Malching|Gemeinde|Passau|Niederbayern|09-275-132
