Gemeinde|Art|Landkreis|Bezirk|AGS
Schönau an der Brend|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-163
Schönau am Königssee|Gemeinde|Berchtesgadener Land|Oberbayern|09-172-132
Schönberg|Markt|Freyung-Grafenau|Niederbayern|09-272-147
Schönberg|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-143
Schönbrunn im Steigerwald|Gemeinde|Bamberg|Oberfranken|09-471-186
Schondorf am Ammersee|Gemeinde|Landsberg am Lech|Oberbayern|09-181-139
Schondra|Markt|Bad Kissingen|Unterfranken|09-672-149
Schongau|Stadt|Weilheim-Schongau|Oberbayern|09-190-148
Schöngeising|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-147
Schönsee|Stadt|Schwandorf|Oberpfalz|09-376-160
Schonstett|Gemeinde|Rosenheim|Oberbayern|09-187-173
Schönthal|Gemeinde|Cham|Oberpfalz|09-372-157
Schonungen|Gemeinde|Schweinfurt|Unterfranken|09-678-174
Schönwald|Stadt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-150
Schopfloch|Markt|Ansbach|Mittelfranken|09-571-200
Schorndorf|Gemeinde|Cham|Oberpfalz|09-372-158
Schrobenhausen|Stadt|Neuburg-Schrobenhausen|Oberbayern|09-185-158
Schwabbruck|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-149
Schwabhausen|Gemeinde|Dachau|Oberbayern|09-174-143
Schwabmünchen|Stadt|Augsburg|Schwaben|09-772-200
Schwabsoien|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-151
Schwaig bei Nürnberg|Gemeinde|Nürnberger Land|Mittelfranken|09-574-156
Schwaigen|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-131
Schwandorf|Große Kreisstadt|Schwandorf|Oberpfalz|09-376-161
Schwanfeld|Gemeinde|Schweinfurt|Unterfranken|09-678-175
Schwangau|Gemeinde|Ostallgäu|Schwaben|09-777-169
Schwanstetten|Markt|Roth|Mittelfranken|09-576-132
Schwarzach|Markt|Straubing-Bogen|Niederbayern|09-278-187
Schwarzach am Main|Markt|Kitzingen|Unterfranken|09-675-165
Schwarzach bei Nabburg|Gemeinde|Schwandorf|Oberpfalz|09-376-162
Schwarzenbach|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-156
Schwarzenbach an der Saale|Stadt|Hof|Oberfranken|09-475-168
Schwarzenbach am Wald|Stadt|Hof|Oberfranken|09-475-169
Schwarzenbruck|Gemeinde|Nürnberger Land|Mittelfranken|09-574-157
Schwarzenfeld|Markt|Schwandorf|Oberpfalz|09-376-163
Schwarzhofen|Markt|Schwandorf|Oberpfalz|09-376-164
Schwebheim|Gemeinde|Schweinfurt|Unterfranken|09-678-176
Schweitenkirchen|Gemeinde|Pfaffenhofen an der Ilm|Oberbayern|09-186-152
Schwenningen (Donau)|Gemeinde|Dillingen an der Donau|Schwaben|09-773-164
Schwifting|Gemeinde|Landsberg am Lech|Oberbayern|09-181-140
Schwindegg|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-144
Seefeld|Gemeinde|Starnberg|Oberbayern|09-188-132
Seeg|Gemeinde|Ostallgäu|Schwaben|09-777-170
Seehausen am Staffelsee|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-132
Seeon-Seebruck|Gemeinde|Traunstein|Oberbayern|09-189-143
Seeshaupt|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-152
Segnitz|Gemeinde|Kitzingen|Unterfranken|09-675-166
Seinsheim|Markt|Kitzingen|Unterfranken|09-675-167
Selb|Große Kreisstadt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-152
Selbitz|Stadt|Hof|Oberfranken|09-475-171
Senden|Stadt|Neu-Ulm|Schwaben|09-775-152
Sengenthal|Gemeinde|Neumarkt in der Oberpfalz|Oberpfalz|09-373-159
Sennfeld|Gemeinde|Schweinfurt|Unterfranken|09-678-178
Seßlach|Stadt|Coburg|Oberfranken|09-473-165
Seubersdorf in der Oberpfalz|Gemeinde|Neumarkt in der Oberpfalz|Oberpfalz|09-373-160
Seukendorf|Gemeinde|Fürth|Mittelfranken|09-573-126
Seybothenreuth|Gemeinde|Bayreuth|Oberfranken|09-472-188
Siegenburg|Markt|Kelheim|Niederbayern|09-273-172
Siegsdorf|Gemeinde|Traunstein|Oberbayern|09-189-145
Sielenbach|Gemeinde|Aichach-Friedberg|Schwaben|09-771-165
Sigmarszell|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-126
Simbach (bei Landau)|Markt|Dingolfing-Landau|Niederbayern|09-279-135
Simbach am Inn|Stadt|Rottal-Inn|Niederbayern|09-277-145
Simmelsdorf|Gemeinde|Nürnberger Land|Mittelfranken|09-574-158
Simmershofen|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-163
Sindelsdorf|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-153
Sinzing|Gemeinde|Regensburg|Oberpfalz|09-375-199
Söchtenau|Gemeinde|Rosenheim|Oberbayern|09-187-174
Solnhofen|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-168
Sommerach|Gemeinde|Kitzingen|Unterfranken|09-675-169
Sommerhausen|Markt|Würzburg|Unterfranken|09-679-187
Sommerkahl|Gemeinde|Aschaffenburg|Unterfranken|09-671-153
Sonderhofen|Gemeinde|Würzburg|Unterfranken|09-679-188
Sondheim vor der Rhön|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-167
Sonnefeld|Gemeinde|Coburg|Oberfranken|09-473-166
Sonnen|Gemeinde|Passau|Niederbayern|09-275-148
Sontheim|Gemeinde|Unterallgäu|Schwaben|09-778-196
Sonthofen|Stadt|Oberallgäu|Schwaben|09-780-139
Soyen|Gemeinde|Rosenheim|Oberbayern|09-187-176
Spalt|Stadt|Roth|Mittelfranken|09-576-147
Spardorf|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-154
Sparneck|Markt|Hof|Oberfranken|09-475-174
Spatzenhausen|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-133
Speichersdorf|Gemeinde|Bayreuth|Oberfranken|09-472-190
Speinshart|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-157
Spiegelau|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-149
Stadelhofen|Gemeinde|Bamberg|Oberfranken|09-471-189
Stadlern|Gemeinde|Schwandorf|Oberpfalz|09-376-167
Stadtbergen|Stadt|Augsburg|Schwaben|09-772-202
Stadtlauringen|Markt|Schweinfurt|Unterfranken|09-678-181
Stadtprozelten|Stadt|Miltenberg|Unterfranken|09-676-158
Stadtsteinach|Stadt|Kulmbach|Oberfranken|09-477-156
Stallwang|Gemeinde|Straubing-Bogen|Niederbayern|09-278-189
Stammbach|Markt|Hof|Oberfranken|09-475-175
Stammham (am Inn)|Gemeinde|Altötting|Oberbayern|09-171-130
Stammham (bei Ingolstadt)|Gemeinde|Eichstätt|Oberbayern|09-176-161
Stamsried|Markt|Cham|Oberpfalz|09-372-161
Starnberg|Stadt|Starnberg|Oberbayern|09-188-139
Staudach-Egerndach|Gemeinde|Traunstein|Oberbayern|09-189-146
Stegaurach|Gemeinde|Bamberg|Oberfranken|09-471-191
Stein|Stadt|Fürth|Mittelfranken|09-573-127
Steinach|Gemeinde|Straubing-Bogen|Niederbayern|09-278-190
Steinbach am Wald|Gemeinde|Kronach|Oberfranken|09-476-175
Steinberg am See|Gemeinde|Schwandorf|Oberpfalz|09-376-168
Steindorf|Gemeinde|Aichach-Friedberg|Schwaben|09-771-168
Steinfeld|Gemeinde|Main-Spessart|Unterfranken|09-677-186
Steingaden|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-154
Steinhöring|Gemeinde|Ebersberg|Oberbayern|09-175-137
Steinkirchen|Gemeinde|Erding|Oberbayern|09-177-138
Steinsfeld|Gemeinde|Ansbach|Mittelfranken|09-571-205
Steinwiesen|Markt|Kronach|Oberfranken|09-476-177
Stephanskirchen|Gemeinde|Rosenheim|Oberbayern|09-187-177
Stephansposching|Gemeinde|Deggendorf|Niederbayern|09-271-151
Stetten|Gemeinde|Unterallgäu|Schwaben|09-778-199
Stettfeld|Gemeinde|Haßberge|Unterfranken|09-674-201
Stiefenhofen|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-127
Stockheim|Gemeinde|Kronach|Oberfranken|09-476-178
Stockheim|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-170
Stockstadt am Main|Markt|Aschaffenburg|Unterfranken|09-671-155
Störnstein|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-158
Stötten am Auerberg|Gemeinde|Ostallgäu|Schwaben|09-777-171
Stöttwang|Gemeinde|Ostallgäu|Schwaben|09-777-172
Strahlungen|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-171
Straßkirchen|Gemeinde|Straubing-Bogen|Niederbayern|09-278-192
Straßlach-Dingharting|Gemeinde|München|Oberbayern|09-184-144
Strullendorf|Gemeinde|Bamberg|Oberfranken|09-471-195
Stubenberg|Gemeinde|Rottal-Inn|Niederbayern|09-277-147
Stulln|Gemeinde|Schwandorf|Oberpfalz|09-376-169
Sugenheim|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-165
Sulzbach am Main|Markt|Miltenberg|Unterfranken|09-676-160
Sulzbach-Rosenberg|Stadt|Amberg-Sulzbach|Oberpfalz|09-371-151
Sulzberg (Oberallgäu)|Markt|Oberallgäu|Schwaben|09-780-140
Sulzdorf an der Lederhecke|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-172
Sulzemoos|Gemeinde|Dachau|Oberbayern|09-174-146
Sulzfeld (im Grabfeld)|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-173
Sulzfeld am Main|Gemeinde|Kitzingen|Unterfranken|09-675-170
Sulzheim|Gemeinde|Schweinfurt|Unterfranken|09-678-183
Sulzthal|Markt|Bad Kissingen|Unterfranken|09-672-155
Sünching|Gemeinde|Regensburg|Oberpfalz|09-375-201
Surberg|Gemeinde|Traunstein|Oberbayern|09-189-148
Syrgenstein|Gemeinde|Dillingen an der Donau|Schwaben|09-773-170
Tacherting|Gemeinde|Traunstein|Oberbayern|09-189-149
Taching am See|Gemeinde|Traunstein|Oberbayern|09-189-150
Tagmersheim|Gemeinde|Donau-Ries|Schwaben|09-779-217
Tann|Markt|Rottal-Inn|Niederbayern|09-277-148
Tännesberg|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-159
Tapfheim|Gemeinde|Donau-Ries|Schwaben|09-779-218
Tauberrettersheim|Gemeinde|Würzburg|Unterfranken|09-679-192
Taufkirchen (Landkreis Mühldorf am Inn)|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-145
Taufkirchen (bei München)|Gemeinde|München|Oberbayern|09-184-145
Taufkirchen (Vils)|Gemeinde|Erding|Oberbayern|09-177-139
Tegernheim|Gemeinde|Regensburg|Oberpfalz|09-375-204
Tegernsee|Stadt|Miesbach|Oberbayern|09-182-132
Teisendorf|Markt|Berchtesgadener Land|Oberbayern|09-172-134
Teising|Gemeinde|Altötting|Oberbayern|09-171-131
Teisnach|Markt|Regen|Niederbayern|09-276-143
Tettau|Markt|Kronach|Oberfranken|09-476-179
Tettenweis|Gemeinde|Passau|Niederbayern|09-275-149
Teublitz|Stadt|Schwandorf|Oberpfalz|09-376-170
Teugn|Gemeinde|Kelheim|Niederbayern|09-273-175
Teunz|Gemeinde|Schwandorf|Oberpfalz|09-376-171
Teuschnitz|Stadt|Kronach|Oberfranken|09-476-180
Thaining|Gemeinde|Landsberg am Lech|Oberbayern|09-181-142
Thalmassing|Gemeinde|Regensburg|Oberpfalz|09-375-205
Thalmässing|Markt|Roth|Mittelfranken|09-576-148
Thannhausen|Stadt|Günzburg|Schwaben|09-774-185
Thanstein|Gemeinde|Schwandorf|Oberpfalz|09-376-172
Theilenhofen|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-172
Theilheim|Gemeinde|Würzburg|Unterfranken|09-679-193
Theisseil|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-160
Theres|Gemeinde|Haßberge|Unterfranken|09-674-180
Thierhaupten|Markt|Augsburg|Schwaben|09-772-207
Thiersheim|Markt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-158
Thierstein|Markt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-159
Thundorf in Unterfranken|Gemeinde|Bad Kissingen|Unterfranken|09-672-157
Thüngen|Markt|Main-Spessart|Unterfranken|09-677-189
Thüngersheim|Gemeinde|Würzburg|Unterfranken|09-679-194
Thurmansbang|Gemeinde|Freyung-Grafenau|Niederbayern|09-272-150
Thurnau|Markt|Kulmbach|Oberfranken|09-477-157
Thyrnau|Gemeinde|Passau|Niederbayern|09-275-150
Tiefenbach (bei Landshut)|Gemeinde|Landshut|Niederbayern|09-274-182
Tiefenbach (bei Passau)|Gemeinde|Passau|Niederbayern|09-275-151
Tiefenbach|Gemeinde|Cham|Oberpfalz|09-372-163
Tirschenreuth|Stadt|Tirschenreuth|Oberpfalz|09-377-154
Titting|Markt|Eichstätt|Oberbayern|09-176-164
Tittling|Markt|Passau|Niederbayern|09-275-152
Tittmoning|Stadt|Traunstein|Oberbayern|09-189-152
Todtenweis|Gemeinde|Aichach-Friedberg|Schwaben|09-771-169
Töging am Inn|Stadt|Altötting|Oberbayern|09-171-132
Töpen|Gemeinde|Hof|Oberfranken|09-475-181
Trabitz|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-148
Train|Gemeinde|Kelheim|Niederbayern|09-273-177
Traitsching|Gemeinde|Cham|Oberpfalz|09-372-164
Trappstadt|Markt|Rhön-Grabfeld|Unterfranken|09-673-174
Traunreut|Stadt|Traunstein|Oberbayern|09-189-154
Traunstein|Große Kreisstadt|Traunstein|Oberbayern|09-189-155
Trausnitz|Gemeinde|Schwandorf|Oberpfalz|09-376-173
Trautskirchen|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-166
Trebgast|Gemeinde|Kulmbach|Oberfranken|09-477-158
Treffelstein|Gemeinde|Cham|Oberpfalz|09-372-165
Treuchtlingen|Stadt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-173
Triefenstein|Markt|Main-Spessart|Unterfranken|09-677-154
Triftern|Markt|Rottal-Inn|Niederbayern|09-277-149
Trogen|Gemeinde|Hof|Oberfranken|09-475-182
Tröstau|Gemeinde|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-161
Trostberg|Stadt|Traunstein|Oberbayern|09-189-157
Trunkelsberg|Gemeinde|Unterallgäu|Schwaben|09-778-202
Tschirn|Gemeinde|Kronach|Oberfranken|09-476-182
Tuchenbach|Gemeinde|Fürth|Mittelfranken|09-573-129
Tuntenhausen|Gemeinde|Rosenheim|Oberbayern|09-187-179
Türkenfeld|Gemeinde|Fürstenfeldbruck|Oberbayern|09-179-149
Türkheim|Markt|Unterallgäu|Schwaben|09-778-203
Tussenhausen|Markt|Unterallgäu|Schwaben|09-778-204
Tüßling|Markt|Altötting|Oberbayern|09-171-133
Tutzing|Gemeinde|Starnberg|Oberbayern|09-188-141
Tyrlaching|Gemeinde|Altötting|Oberbayern|09-171-134
Übersee (Chiemgau)|Gemeinde|Traunstein|Oberbayern|09-189-159
Üchtelhausen|Gemeinde|Schweinfurt|Unterfranken|09-678-186
Uehlfeld|Markt|Aisch-Bad Windsheim|Mittelfranken|09-575-167
Uettingen|Gemeinde|Würzburg|Unterfranken|09-679-196
Uffenheim|Stadt|Aisch-Bad Windsheim|Mittelfranken|09-575-168
Uffing am Staffelsee|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-134
Ungerhausen|Gemeinde|Unterallgäu|Schwaben|09-778-205
Unsleben|Gemeinde|Rhön-Grabfeld|Unterfranken|09-673-175
Unterammergau|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-135
Unterdießen|Gemeinde|Landsberg am Lech|Oberbayern|09-181-143
Unterdietfurt|Gemeinde|Rottal-Inn|Niederbayern|09-277-151
Unteregg|Gemeinde|Unterallgäu|Schwaben|09-778-207
Unterföhring|Gemeinde|München|Oberbayern|09-184-147
Untergriesbach|Markt|Passau|Niederbayern|09-275-153
Unterhaching|Gemeinde|München|Oberbayern|09-184-148
Unterleinleiter|Gemeinde|Forchheim|Oberfranken|09-474-168
Untermeitingen|Gemeinde|Augsburg|Schwaben|09-772-209
Untermerzbach|Gemeinde|Haßberge|Unterfranken|09-674-210
Unterneukirchen|Gemeinde|Altötting|Oberbayern|09-171-135
Unterpleichfeld|Gemeinde|Würzburg|Unterfranken|09-679-201
Unterreit|Gemeinde|Mühldorf am Inn|Oberbayern|09-183-147
Unterroth|Gemeinde|Neu-Ulm|Schwaben|09-775-161
Unterschleißheim|Stadt|München|Oberbayern|09-184-149
Unterschwaningen|Gemeinde|Ansbach|Mittelfranken|09-571-208
Untersiemau|Gemeinde|Coburg|Oberfranken|09-473-170
Untersteinach|Gemeinde|Kulmbach|Oberfranken|09-477-159
Unterthingau|Markt|Ostallgäu|Schwaben|09-777-175
Unterwössen|Gemeinde|Traunstein|Oberbayern|09-189-160
Untrasried|Gemeinde|Ostallgäu|Schwaben|09-777-176
Ursberg|Gemeinde|Günzburg|Schwaben|09-774-116
Ursensollen|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-154
Urspringen|Gemeinde|Main-Spessart|Unterfranken|09-677-193
Ustersbach|Gemeinde|Augsburg|Schwaben|09-772-211
Uttenreuth|Gemeinde|Erlangen-Höchstadt|Mittelfranken|09-572-158
Utting am Ammersee|Gemeinde|Landsberg am Lech|Oberbayern|09-181-144
Vachendorf|Gemeinde|Traunstein|Oberbayern|09-189-161
Valley|Gemeinde|Miesbach|Oberbayern|09-182-133
Vaterstetten|Gemeinde|Ebersberg|Oberbayern|09-175-132
Veitsbronn|Gemeinde|Fürth|Mittelfranken|09-573-130
Veitshöchheim|Gemeinde|Würzburg|Unterfranken|09-679-202
Velburg|Stadt|Neumarkt in der Oberpfalz|Oberpfalz|09-373-167
Velden|Markt|Nürnberger Land|Mittelfranken|09-274-183
Velden (Vils)|Stadt|Landshut|Niederbayern|09-574-160
Vestenbergsgreuth|Markt|Erlangen-Höchstadt|Mittelfranken|09-572-159
Viechtach|Stadt|Regen|Niederbayern|09-276-144
Viereth-Trunstadt|Gemeinde|Bamberg|Oberfranken|09-471-207
Vierkirchen|Gemeinde|Dachau|Oberbayern|09-174-150
Vilgertshofen|Gemeinde|Landsberg am Lech|Oberbayern|09-181-133
Villenbach|Gemeinde|Dillingen an der Donau|Schwaben|09-773-179
Vilsbiburg|Stadt|Landshut|Niederbayern|09-274-184
Vilseck|Stadt|Amberg-Sulzbach|Oberpfalz|09-371-156
Vilsheim|Gemeinde|Landshut|Niederbayern|09-274-185
Vilshofen an der Donau|Stadt|Passau|Niederbayern|09-275-154
Vogtareuth|Gemeinde|Rosenheim|Oberbayern|09-187-181
Vohburg an der Donau|Stadt|Pfaffenhofen an der Ilm|Oberbayern|09-186-158
Vohenstrauß|Stadt|Neustadt an der Waldnaab|Oberpfalz|09-374-162
Vöhringen (Iller)|Stadt|Neu-Ulm|Schwaben|09-775-162
Volkach|Stadt|Kitzingen|Unterfranken|09-675-174
Volkenschwand|Gemeinde|Kelheim|Niederbayern|09-273-178
Vorbach|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-163
Vorra|Gemeinde|Nürnberger Land|Mittelfranken|09-574-161
Waakirchen|Gemeinde|Miesbach|Oberbayern|09-182-134
Waal (Allgäu)|Markt|Ostallgäu|Schwaben|09-777-177
Wachenroth|Markt|Erlangen-Höchstadt|Mittelfranken|09-572-160
Wackersberg|Gemeinde|Bad Tölz-Wolfratshausen|Oberbayern|09-173-145
Wackersdorf|Gemeinde|Schwandorf|Oberpfalz|09-376-175
Waffenbrunn|Gemeinde|Cham|Oberpfalz|09-372-168
Waging am See|Markt|Traunstein|Oberbayern|09-189-162
Waidhaus|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-164
Waidhofen|Gemeinde|Neuburg-Schrobenhausen|Oberbayern|09-185-166
Waigolshausen|Gemeinde|Schweinfurt|Unterfranken|09-678-190
Waischenfeld|Stadt|Bayreuth|Oberfranken|09-472-197
Wald (Allgäu)|Gemeinde|Ostallgäu|Schwaben|09-372-169
Wald|Gemeinde|Cham|Oberpfalz|09-777-179
Waldaschaff|Gemeinde|Aschaffenburg|Unterfranken|09-671-156
Waldbrunn|Gemeinde|Würzburg|Unterfranken|09-679-204
Waldbüttelbrunn|Gemeinde|Würzburg|Unterfranken|09-679-205
Walderbach|Gemeinde|Cham|Oberpfalz|09-372-170
Waldershof|Stadt|Tirschenreuth|Oberpfalz|09-377-157
Waldkirchen|Stadt|Freyung-Grafenau|Niederbayern|09-272-151
Waldkraiburg|Stadt|Mühldorf am Inn|Oberbayern|09-183-148
Waldmünchen|Stadt|Cham|Oberpfalz|09-372-171
Waldsassen|Stadt|Tirschenreuth|Oberpfalz|09-377-158
Waldstetten (Günz)|Markt|Günzburg|Schwaben|09-774-191
Waldthurn|Markt|Neustadt an der Waldnaab|Oberpfalz|09-374-165
Walkertshofen|Gemeinde|Augsburg|Schwaben|09-772-214
Wallenfels|Stadt|Kronach|Oberfranken|09-476-184
Wallerfing|Gemeinde|Deggendorf|Niederbayern|09-271-152
Wallersdorf|Markt|Dingolfing-Landau|Niederbayern|09-279-137
Wallerstein|Markt|Donau-Ries|Schwaben|09-779-224
Wallgau|Gemeinde|Garmisch-Partenkirchen|Oberbayern|09-180-136
Walpertskirchen|Gemeinde|Erding|Oberbayern|09-177-142
Walsdorf|Gemeinde|Bamberg|Oberfranken|09-471-208
Waltenhausen|Gemeinde|Günzburg|Schwaben|09-774-192
Waltenhofen|Gemeinde|Oberallgäu|Schwaben|09-780-143
Walting|Gemeinde|Eichstätt|Oberbayern|09-176-165
Wang|Gemeinde|Freising|Oberbayern|09-178-155
Warmensteinach|Gemeinde|Bayreuth|Oberfranken|09-472-198
Warngau|Gemeinde|Miesbach|Oberbayern|09-182-136
Wartenberg|Markt|Erding|Oberbayern|09-177-143
Wartmannsroth|Gemeinde|Bad Kissingen|Unterfranken|09-672-161
Wasserburg (Bodensee)|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-128
Wasserburg am Inn|Stadt|Rosenheim|Oberbayern|09-187-182
Wasserlosen|Gemeinde|Schweinfurt|Unterfranken|09-678-192
Wassertrüdingen|Stadt|Ansbach|Mittelfranken|09-571-214
Wattendorf|Gemeinde|Bamberg|Oberfranken|09-471-209
Wechingen|Gemeinde|Donau-Ries|Schwaben|09-779-226
Wegscheid|Markt|Passau|Niederbayern|09-275-156
Wehringen|Gemeinde|Augsburg|Schwaben|09-772-215
Weibersbrunn|Gemeinde|Aschaffenburg|Unterfranken|09-671-157
Weichering|Gemeinde|Neuburg-Schrobenhausen|Oberbayern|09-185-168
Weichs|Gemeinde|Dachau|Oberbayern|09-174-151
Weidenbach|Markt|Ansbach|Mittelfranken|09-571-216
Weidenberg|Markt|Bayreuth|Oberfranken|09-472-199
Weidhausen bei Coburg|Gemeinde|Coburg|Oberfranken|09-473-174
Weiding|Gemeinde|Cham|Oberpfalz|09-372-174
Weiding|Gemeinde|Schwandorf|Oberpfalz|09-376-176
Weigendorf|Gemeinde|Amberg-Sulzbach|Oberpfalz|09-371-157
Weigenheim|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-179
Weihenzell|Gemeinde|Ansbach|Mittelfranken|09-571-217
Weiherhammer|Gemeinde|Neustadt an der Waldnaab|Oberpfalz|09-374-166
Weihmichl|Gemeinde|Landshut|Niederbayern|09-274-187
Weil|Gemeinde|Landsberg am Lech|Oberbayern|09-181-145
Weilbach|Markt|Miltenberg|Unterfranken|09-676-165
Weilersbach|Gemeinde|Forchheim|Oberfranken|09-474-171
Weiler-Simmerberg|Markt|Lindau (Bodensee)|Schwaben|09-776-129
Weilheim in Oberbayern|Stadt|Weilheim-Schongau|Oberbayern|09-190-157
Weiltingen|Markt|Ansbach|Mittelfranken|09-571-218
Weisendorf|Markt|Erlangen-Höchstadt|Mittelfranken|09-572-164
Weismain|Stadt|Lichtenfels|Oberfranken|09-478-176
Weißdorf|Gemeinde|Hof|Oberfranken|09-475-184
Weißenbrunn|Gemeinde|Kronach|Oberfranken|09-476-185
Weißenburg in Bayern|Große Kreisstadt|Weißenburg-Gunzenhausen|Mittelfranken|09-577-177
Weißenhorn|Stadt|Neu-Ulm|Schwaben|09-775-164
Weißenohe|Gemeinde|Forchheim|Oberfranken|09-474-173
Weißensberg|Gemeinde|Lindau (Bodensee)|Schwaben|09-776-130
Weißenstadt|Stadt|Wunsiedel im Fichtelgebirge|Oberfranken|09-479-166
Weitnau|Markt|Oberallgäu|Schwaben|09-780-144
Weitramsdorf|Gemeinde|Coburg|Oberfranken|09-473-175
Welden|Markt|Augsburg|Schwaben|09-772-216
Wellheim|Markt|Eichstätt|Oberbayern|09-176-166
Wemding|Stadt|Donau-Ries|Schwaben|09-779-228
Wendelstein|Markt|Roth|Mittelfranken|09-576-151
Weng|Gemeinde|Landshut|Niederbayern|09-274-188
Wenzenbach|Gemeinde|Regensburg|Oberpfalz|09-375-208
Wernberg-Köblitz|Markt|Schwandorf|Oberpfalz|09-376-150
Werneck|Markt|Schweinfurt|Unterfranken|09-678-193
Wertach|Markt|Oberallgäu|Schwaben|09-780-145
Wertingen|Stadt|Dillingen an der Donau|Schwaben|09-773-182
Weßling|Gemeinde|Starnberg|Oberbayern|09-188-144
Wessobrunn|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-158
Westendorf (Landkreis Augsburg)|Gemeinde|Augsburg|Schwaben|09-772-217
Westendorf (Allgäu)|Gemeinde|Ostallgäu|Schwaben|09-777-182
Westerheim (Unterallgäu)|Gemeinde|Unterallgäu|Schwaben|09-778-214
Westerngrund|Gemeinde|Aschaffenburg|Unterfranken|09-671-159
Westheim|Gemeinde|Weißenburg-Gunzenhausen|Mittelfranken|09-577-179
Wettringen|Gemeinde|Ansbach|Mittelfranken|09-571-222
Wettstetten|Gemeinde|Eichstätt|Oberbayern|09-176-167
Weyarn|Gemeinde|Miesbach|Oberbayern|09-182-137
Wiedergeltingen|Gemeinde|Unterallgäu|Schwaben|09-778-216
Wielenbach|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-159
Wiesau|Markt|Tirschenreuth|Oberpfalz|09-377-159
Wiesen|Gemeinde|Aschaffenburg|Unterfranken|09-671-162
Wiesenbach|Gemeinde|Günzburg|Schwaben|09-774-189
Wiesenbronn|Gemeinde|Kitzingen|Unterfranken|09-675-177
Wiesenfelden|Gemeinde|Straubing-Bogen|Niederbayern|09-278-197
Wiesent|Gemeinde|Regensburg|Oberpfalz|09-375-209
Wiesenthau|Gemeinde|Forchheim|Oberfranken|09-474-175
Wiesentheid|Markt|Kitzingen|Unterfranken|09-675-178
Wiesenttal|Markt|Forchheim|Oberfranken|09-474-176
Wieseth|Gemeinde|Ansbach|Mittelfranken|09-571-223
Wiesthal|Gemeinde|Main-Spessart|Unterfranken|09-677-200
Wiggensbach|Markt|Oberallgäu|Schwaben|09-780-146
Wilburgstetten|Gemeinde|Ansbach|Mittelfranken|09-571-224
Wildenberg|Gemeinde|Kelheim|Niederbayern|09-273-181
Wildflecken|Markt|Bad Kissingen|Unterfranken|09-672-163
Wildpoldsried|Gemeinde|Oberallgäu|Schwaben|09-780-147
Wildsteig|Gemeinde|Weilheim-Schongau|Oberbayern|09-190-160
Wilhelmsdorf|Gemeinde|Aisch-Bad Windsheim|Mittelfranken|09-575-181
Wilhelmsthal|Gemeinde|Kronach|Oberfranken|09-476-189
